time,open,high,low,close
1967-01-01T22:00:00Z,119.89,119.89,119.89,119.89
1967-02-01T00:00:00Z,119.81,119.81,119.81,119.81
1967-03-01T00:00:00Z,119.79,119.79,119.79,119.79
1967-04-02T23:00:00+01:00,119.72,119.72,119.72,119.72
1967-04-30T22:00:00+01:00,119.64,119.64,119.64,119.64
1967-06-01T00:00:00+01:00,119.63,119.63,119.63,119.63
1967-07-02T22:00:00+01:00,119.7,119.7,119.7,119.7
1967-08-01T00:00:00+01:00,119.75,119.75,119.75,119.75
1967-09-01T00:00:00+01:00,119.74,119.74,119.74,119.74
1967-10-01T22:00:00+01:00,119.73,119.73,119.73,119.73
1967-11-01T00:00:00Z,120.27,120.27,120.27,120.27
1967-12-01T00:00:00Z,121.79,121.79,121.79,121.79
1967-12-31T22:00:00Z,122.07,122.07,122.07,122.07
1968-02-01T00:00:00Z,122.08,122.08,122.08,122.08
1968-03-01T01:00:00+01:00,122,122,122,122
1968-03-31T23:00:00+01:00,122.01,122.01,122.01,122.01
1968-05-01T00:00:00+01:00,122.04,122.04,122.04,122.04
1968-06-02T22:00:00+01:00,122.22,122.22,122.22,122.22
1968-06-30T22:00:00+01:00,122.18,122.18,122.18,122.18
1968-08-01T00:00:00+01:00,122.18,122.18,122.18,122.18
1968-09-01T22:00:00+01:00,121.98,121.98,121.98,121.98
1968-10-01T00:00:00+01:00,122.03,122.03,122.03,122.03
1968-11-01T01:00:00+01:00,121.95,121.95,121.95,121.95
1968-12-01T23:00:00+01:00,121.96,121.96,121.96,121.96
1969-01-01T01:00:00+01:00,122.08,122.08,122.08,122.08
1969-02-02T23:00:00+01:00,122.19,122.19,122.19,122.19
1969-03-02T23:00:00+01:00,122.29,122.29,122.29,122.29
1969-04-01T01:00:00+01:00,122.26,122.26,122.26,122.26
1969-05-01T00:00:00+01:00,122.24,122.24,122.24,122.24
1969-06-01T22:00:00+01:00,122.34,122.34,122.34,122.34
1969-07-01T00:00:00+01:00,122.36,122.36,122.36,122.36
1969-08-01T00:00:00+01:00,123.46,123.46,123.46,123.46
1969-08-31T22:00:00+01:00,123.82,123.82,123.82,123.82
1969-10-01T00:00:00+01:00,122.18,122.18,122.18,122.18
1969-11-02T23:00:00+01:00,121.77,121.77,121.77,121.77
1969-11-30T23:00:00+01:00,121.74,121.74,121.74,121.74
1970-01-01T01:00:00+01:00,121.75,121.75,121.75,121.75
1970-02-01T23:00:00+01:00,121.72,121.72,121.72,121.72
1970-03-01T23:00:00+01:00,121.6,121.6,121.6,121.6
1970-04-01T01:00:00+01:00,121.36,121.36,121.36,121.36
1970-05-01T00:00:00+01:00,121.32,121.32,121.32,121.32
1970-05-31T22:00:00+01:00,120.98,120.98,120.98,120.98
1970-07-01T00:00:00+01:00,120.9,120.9,120.9,120.9
1970-08-02T22:00:00+01:00,120.7,120.7,120.7,120.7
1970-09-01T00:00:00+01:00,120.62,120.62,120.62,120.62
1970-10-01T00:00:00+01:00,120.64,120.64,120.64,120.64
1970-11-01T23:00:00+01:00,120.55,120.55,120.55,120.55
1970-12-01T01:00:00+01:00,120.64,120.64,120.64,120.64
1971-01-01T01:00:00+01:00,120.53,120.55,120.24,120.24
1971-01-31T23:00:00+01:00,120.26,120.29,120.12,120.26
1971-02-28T23:00:00+01:00,120.25,120.25,120.13,120.17
1971-04-01T01:00:00+01:00,120.18,120.31,120.16,120.19
1971-05-02T22:00:00+01:00,120.17,120.17,118.91,119.43
1971-06-01T00:00:00+01:00,119.69,119.69,119.16,119.16
1971-07-01T00:00:00+01:00,119.17,119.21,118.76,118.76
1971-08-01T22:00:00+01:00,118.79,118.81,116.47,116.47
1971-09-01T00:00:00+01:00,116.58,116.58,114.93,114.93
1971-10-01T00:00:00+01:00,114.81,114.88,114.53,114.65
